gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1201,64,512,3072,9216,ck,4,0,231.708,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,125.12,156.13,0.0
gfx1201,64,1024,3072,3072,ck,4,0,160.973,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,120.07,117.25,0.0
gfx1201,64,1024,3072,12288,ck,4,0,635.1648,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,121.72,89.15,0.0
gfx1201,64,1088,3072,15360,ck,4,0,888.2742,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,115.59,79.46,0.0
gfx1201,64,2048,3072,3072,ck,4,0,322.0895,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,120.01,87.9,0.0
gfx1201,64,2048,3072,12288,ck,4,0,1250.2296,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,123.67,60.39,0.0
gfx1201,64,2112,3072,15360,ck,7,0,1902.0049,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,104.79,48.69,0.0
gfx1201,64,2176,3072,15360,ck,4,0,1652.519,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.27,56.87,0.0
gfx1201,64,4096,3072,3072,ck,4,0,650.4958,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,118.85,72.54,0.0
gfx1201,64,4096,3072,9216,ck,4,0,1809.6945,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,128.16,50.41,0.0
gfx1201,64,4096,3072,12288,ck,4,0,2501.5402,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,123.62,45.27,0.0
gfx1201,64,4154,3072,12288,ck,7,0,3823.1546,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,82.03,29.9,0.0
gfx1201,64,4160,3072,15360,ck,7,0,3762.9173,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,104.33,36.31,0.0
gfx1201,64,4224,3072,12288,ck,5,0,3014.4315,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,105.79,38.35,0.0
gfx1201,64,4224,3072,15360,ck,4,0,3323.3146,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,119.95,41.53,0.0
gfx1201,64,4352,3072,15360,ck,4,0,3283.323,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,125.09,42.87,0.0
gfx1201,64,6714,3072,12288,ck,7,0,5952.0557,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,85.16,27.13,0.0
gfx1201,64,6851,3072,14336,ck,7,0,5962.1438,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,101.21,30.92,0.0
gfx1201,64,7130,3072,14336,ck,4,0,7085.2818,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,88.64,26.82,0.0
gfx1201,64,8192,3072,3072,ck,4,0,1295.8989,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,119.31,65.54,0.0
gfx1201,64,8192,3072,9216,ck,4,0,3691.1972,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,125.67,41.76,0.0
gfx1201,64,8192,3072,12288,ck,4,0,5031.6268,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,122.92,37.51,0.0
gfx1201,64,8320,3072,15360,ck,4,0,6726.0132,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.74,33.62,0.0
gfx1201,64,8448,3072,15360,ck,4,0,6478.5208,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,123.06,35.32,0.0
gfx1201,64,10298,3072,12288,ck,7,0,8840.6069,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,87.94,25.74,0.0
gfx1201,64,13702,3072,14336,ck,7,0,14655.9377,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,82.35,22.15,0.0
gfx1201,64,14260,3072,14336,ck,7,0,13697.4789,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,91.7,24.54,0.0
gfx1201,64,16384,3072,3072,ck,4,0,2582.6536,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,119.74,62.12,0.0
gfx1201,64,16384,3072,9216,ck,4,0,7452.8814,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.48,37.57,0.0
gfx1201,64,16384,3072,12288,ck,4,0,10122.149,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,122.2,33.56,0.0
gfx1201,64,16640,3072,3072,ck,4,0,2639.4666,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,118.99,61.68,0.0
